codigo_pdv;nome_pdv;razao_social;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
71600;S33504 - COLOMBO - RUA XV DE NOVEMBRO - 2178 - CAMPO LARGO - PR;;RUA XV DE NOVEMBRO, 2178;CENTRO;CAMPO LARGO;PR;83601030;-2.545.977;-4.952.767;2026-02-09 21:05:02.576155+00;COLOMBO
17223;S17223 - COLOMBO - RUA ACAMPAMENTO - 118 - SANTA MARIA - RS;;RUA ACAMPAMENTO, 118;CENTRO;SANTA MARIA;RS;97050000;-2.968.717;-5.380.672;2026-02-09 21:05:01.741346+00;COLOMBO
3273;S03273 - COLOMBO - RUA BORGES DE MEDEIROS - 1438 - FLORES DA CUNHA - RS;;RUA BORGES DE MEDEIROS, 1438;;FLORES DA CUNHA;RS;95270000;-2.902.888;-5.118.255;2026-02-09 21:05:02.063994+00;COLOMBO
6299;S06299 - COLOMBO - AVENIDA PRESIDENTE LUCENA - 3155 - IVOTI - RS;;AVENIDA PRESIDENTE LUCENA, 3155;;IVOTI;RS;93900000;-2.959.596;-5.116.116;2026-02-09 21:05:02.063994+00;COLOMBO
4649;S04649 - CLIMA RIO - AVENIDA PRESIDENTE EPITACIO PESSOA - 941 - JOAO PESSOA - PB;;Avenida Presidente Epitacio Pessoa, 941;JOAO PESSOA;JOAO PESSOA;PB;58015220;-711.964;-3.486.203;2026-02-09 21:05:01.598207+00;CLIMA RIO
39111;S39111 - COLOMBO - RUA FRANCISCO BUSATO - 8111 - COLOMBO - PR;;RUA FRANCISCO BUSATO, 8111;CENTRO;COLOMBO;PR;83414290;-2.529.191;-49.223;2026-02-09 21:05:02.576155+00;COLOMBO
36946;S36946 - COLOMBO - RUA DOM PEDRO II - 670 - SAO MATEUS DO SUL - PR;;RUA DOM PEDRO II, 670;;SAO MATEUS DO SUL;PR;83900000;-2.587.253;-5.038.507;2026-02-09 21:05:02.576155+00;COLOMBO
81665;S81665 - COLOMBO - AVENIDA ANTONIO NUNES DE SOUZA - 14 - COCAL DO SUL - SC;;AVENIDA ANTONIO NUNES DE SOUZA, 14;;COCAL DO SUL;SC;88845000;-285.991;-493.235;2026-02-09 21:05:02.063994+00;COLOMBO
200;S00200 - FRIOPECAS - RUA BARAO DE ATALAIA - 603 - MACEIO - AL;;Rua Barao De Atalaia, 603;CENTRO;MACEIO;AL;57020510;-966.302;-3.573.052;2026-02-09 21:05:01.598207+00;FRIOPECAS
2499;S00798 - RAMSONS - AVENIDA LEOPOLDO PERES - 570 - MANAUS - AM;;AVENIDA LEOPOLDO PERES, 570;EDUCANDOS;MANAUS;AM;69070250;-31.416.483;-6.000.801.329.999.990;2026-02-09 21:05:02.384876+00;RAMSONS
18201;S18201 - REGIONAL SUL - HAVAN - MACEIO - JARDIM PETROPOLIS - AL;;AVENIDA DOUTOR DURVAL DE GOIS MONTEIRO, SN;JARDIM PETROPOLIS;MACEIO;AL;57080590;-959.565;-3.575.144;2026-02-09 21:05:01.598207+00;HAVAN
7201;S07201 - ANGELONI - RUA MINISTRO CALOGERAS - 1639 - JOINVILLE - SC;;RUA MINISTRO CALOGERAS 1;;JOINVILLE;SC;89202005;-2.630.743;-4.884.774;2026-02-09 21:05:02.694969+00;ANGELONI
79849;S79849 - COLOMBO - AVENIDA IGUACU - 121 - CAPITAO LEONIDAS MARQUES - PR;;AVENIDA IGUACU, 121;;CAPITAO LEONIDAS MARQUES;PR;85790000;-2.547.692;-5.361.305;2026-02-09 21:05:02.694969+00;COLOMBO
86624;S86624 - COLOMBO - RUA MARECHAL DEODORO - 532 - AGUDO - RS;;RUA MARECHAL DEODORO, 532;;AGUDO;RS;96540000;-296.438;-5.324.722;2026-02-09 21:05:01.598207+00;COLOMBO
67913;S67913 - COLOMBO - RUA OLAVO BILAC - 915 - SANTO CRISTO - RS;;RUA OLAVO BILAC, 915;;SANTO CRISTO;RS;98960000;-2.782.415;-5.466.574;2026-02-09 21:05:01.947218+00;COLOMBO
