código_pdv;nome_pdv;razao_social;status;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
14990;14990 - REGIONAL SUL - HAVAN - 0158 - IJUI - SOL NASCENTE - RS;7,94E+13;1;;;IJUI;RS;98700000;-283.926.915;-538.961.378;2026-02-09 21:05:01.741346+00;HAVAN
130;00130 - UNIAR - RUA MARECHAL ARTHUR DA COSTA E SILVA - 1481 - TAUBATE - SP;3,55E+13;1;;;TAUBATE;SP;12010490;-2.303.777;-4.556.834;2026-02-09 21:05:02.239959+00;POLOAR
49265;49265 - COLOMBO - RUA GENERAL OSORIO - 849 - IBIRUBA - RS;8,98E+13;1;;;IBIRUBA;RS;98200000;-2.862.972;-5.308.902;2026-02-09 21:05:01.947218+00;COLOMBO
6890;06890 - HAVAN - AVENIDA QUATORZE DE DEZEMBRO - 1449 - JUNDIAI - SP;7,94E+13;1;;VILA MAFALDA;JUNDIAI;SP;13206105;-2.321.856;-4.687.392;2026-02-09 21:05:02.780508+00;HAVAN
80421;80421 - COLOMBO - AV AV GOVERNADOR MOISES LUPION - 271 - CAFELANDIA - PR;8,98E+13;1;;;CAFELANDIA;PR;85415000;-2.461.548;-5.332.299;2026-02-09 21:05:02.694969+00;COLOMBO
4332;04332 - HAVAN - RUA PEDRO DRUSZCZ - 700 - ARAUCARIA - PR;7,94E+13;1;;CENTRO;ARAUCARIA;PR;83702080;-2.559.566;-4.940.549;2026-02-09 21:05:02.694969+00;HAVAN
843;00843 - COLOMBO - RUA MAL DEODORO - 168 - BENTO GONCALVES - RS;8,98E+13;1;;CENTRO;BENTO GONCALVES;RS;95700010;-2.916.589;-515.174;2026-02-09 21:05:02.239959+00;COLOMBO
172;00172 - UNIAR - AVENIDA MARGINAL 16651 DA RODOVIA RIO SANTOS KM 216 - S/N - BERTIOGA - SP;8,66E+12;1;;ALTURA DO KM 216 DA RODOVIA RIO SANTOS;BERTIOGA;SP;11250003;-238.023.361;-460.792.186;2026-02-09 21:05:01.598207+00;POLOAR
380;00380 - FRIGELAR - RUA ROCKFELLER - 805 - CURITIBA - PR;9,27E+13;1;;REBOUCAS;CURITIBA;PR;80230130;-2.544.501;-4.926.232;2026-02-09 21:05:02.694969+00;FRIGELAR
17825;17825 - REGIONAL SUL - HAVAN - MONTES CLAROS - VERA CRUZ - MG;7,94E+13;1;;VERA CRUZ;MONTES CLAROS;MG;39400802;-1.671.803;-4.384.855;2026-02-09 21:05:02.576155+00;HAVAN
156;00156 - CENTRAL AR - RUA DO FICO - 211 - ARACATUBA - SP;3,46E+13;1;;SAO JOAQUIM ARACATUBA;ARACATUBA;SP;16050387;-2.120.159;-504.398;2026-02-09 21:05:01.598207+00;CENTRAL AR
187;00187 - CENTRAL AR - FRANQUIA ITURAMA/MG;6,25E+13;1;;;ITURAMA;MG;38280000;-197.270.299;-501.947.735;2026-02-09 21:05:01.598207+00;CENTRAL AR
21840;21840 - COLOMBO - RUA DO COMERCIO - 640 - FREDERICO WESTPHALEN - RS;8,98E+13;1;;;FREDERICO WESTPHALEN;RS;98400000;-2.735.721;-5.339.562;2026-02-09 21:05:01.741346+00;COLOMBO
2324;02324 - FRIGELAR - ALAMEDA GLETE - 908 - SAO PAULO - SP;9,27E+13;1;;CAMPOS ELISEOS;SAO PAULO;SP;1215001;-2.353.646;-4.664.954;2026-02-09 21:05:02.239959+00;FRIGELAR
80006;80006 - COLOMBO - AVENIDA LUIZ BARRETO - 147 - TRIUNFO - RS;8,98E+13;1;;;TRIUNFO;RS;95840000;-2.994.338;-5.171.894;2026-02-09 21:05:02.063994+00;COLOMBO
12930;12930 - COLOMBO - RUA MARECHAL FLORIANO - 871 - SANTA CRUZ DO SUL - RS;8,98E+13;1;;CENTRO;SANTA CRUZ DO SUL;RS;96810052;-2.971.909;-5.242.773;2026-02-09 21:05:01.947218+00;COLOMBO
895;00895 - FRIGELAR - RUA GENERAL ARGOLO - 15 - SAO CRISTOVAO - RJ;9,27E+13;1;;SAO CRISTOVAO;SAO CRISTOVAO;RJ;20921393;-2.289.849;-4.322.376;2026-02-09 21:05:01.598207+00;FRIGELAR
1380;01380 - CLIMA RIO - RUA DOS TUPIS - 1518 - BELO HORIZONTE - MG;8,82E+12;1;;BARRO PRETO;BELO HORIZONTE;MG;30190032;-1.991.863;-439.513;2026-02-09 21:05:02.576155+00;CLIMA RIO
67670;67670 - COLOMBO - RUA ESTEFANO JOSE VANOLLI - 897 - ITAJAI - SC;8,98E+13;1;;SAO VICENTE;ITAJAI;SC;88309201;-2.690.186;-4.868.871;2026-02-09 21:05:01.947218+00;COLOMBO
4954;04954 - ANGELONI - RUA DOUTOR JOAO COLIN - 2500 - JOINVILLE - SC;8,36E+13;1;;;JOINVILLE;SC;89204002;-2.627.825;-4.884.973;2026-02-09 21:05:02.694969+00;ANGELONI
